,Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
1,S00002,9.3,95.3,60.6,No,High School,No
3,S00004,17.6,76.8,62.4,Yes,Bachelor,No
4,S00005,8.8,89.3,72.7,No,Master,No
5,S00006,8.8,73.8,69.3,Yes,High School,Yes
10,S00011,7.7,54.1,72.3,No,Master,No
14,S00015,1.4,66.5,49.2,No,Associate,Yes
15,S00016,7.2,54.4,55.9,Yes,High School,No
16,S00017,4.9,71.1,98.0,Yes,High School,No
17,S00018,11.6,94.5,51.8,No,Bachelor,Yes
19,S00020,2.9,87.2,72.4,No,Associate,Yes
22,S00023,10.3,81.1,64.4,No,High School,No
23,S00024,2.9,95.1,30.7,No,Bachelor,Yes
24,S00025,7.3,56.3,58.6,Yes,High School,Yes
27,S00028,11.9,68.2,56.6,Yes,High School,No
28,S00029,7.0,96.4,62.8,Yes,Associate,No
31,S00032,19.3,42.1,74.1,Yes,Associate,Yes
32,S00033,9.9,76.3,89.5,No,Associate,No
34,S00035,14.1,61.0,81.6,No,High School,Yes
35,S00036,3.9,60.9,67.7,Yes,Master,No
36,S00037,11.0,69.7,49.3,Yes,Master,Yes
37,S00038,0.2,51.2,69.1,No,Master,Yes
38,S00039,3.4,73.6,57.5,Yes,Master,Yes
39,S00040,11.0,84.2,48.4,No,Master,Yes
41,S00042,10.9,62.3,77.3,Yes,Bachelor,Yes
45,S00046,6.4,47.0,56.8,No,High School,No
47,S00048,15.3,77.0,97.2,Yes,High School,Yes
55,S00056,14.7,62.2,65.2,No,Bachelor,Yes
58,S00059,11.7,83.4,68.2,No,Master,Yes
59,S00060,14.9,75.0,34.1,No,High School,No
60,S00061,7.6,72.2,65.8,No,High School,Yes
61,S00062,9.1,80.6,66.6,No,Bachelor,No
62,S00063,4.5,51.3,58.0,Yes,Associate,Yes
63,S00064,4.0,35.6,48.5,Yes,Associate,Yes
64,S00065,14.1,70.7,59.4,Yes,High School,No
65,S00066,16.8,57.4,59.4,No,High School,Yes
66,S00067,9.6,86.0,93.9,No,Associate,No
71,S00072,17.7,45.8,70.8,Yes,Bachelor,Yes
72,S00073,9.8,70.5,71.7,Yes,Master,No
78,S00079,10.5,99.2,66.6,No,High School,Yes
79,S00080,0.1,77.7,63.4,No,Associate,Yes
81,S00082,11.8,37.0,67.6,No,Master,Yes
84,S00085,6.0,78.2,74.8,No,Bachelor,Yes
86,S00087,14.6,75.7,54.1,Yes,Master,No
87,S00088,11.6,74.9,52.1,Yes,Master,No
88,S00089,7.4,77.1,67.7,Yes,Bachelor,Yes
92,S00093,6.5,62.6,72.7,Yes,High School,Yes
96,S00097,11.5,77.3,54.8,No,Associate,Yes
98,S00099,10.0,54.8,49.1,Yes,Associate,Yes
99,S00100,8.8,67.0,91.5,No,Associate,No
101,S00102,7.9,86.6,61.8,No,High School,No
103,S00104,6.0,88.0,52.0,No,High School,No
106,S00107,19.4,52.4,47.3,Yes,Associate,Yes
107,S00108,10.9,94.7,65.8,Yes,Master,Yes
109,S00110,9.6,37.6,58.2,Yes,Master,Yes
111,S00112,9.9,94.9,81.6,Yes,Bachelor,No
113,S00114,22.3,59.6,45.5,Yes,Associate,No
114,S00115,9.0,78.6,81.5,Yes,Associate,Yes
115,S00116,11.5,88.9,68.0,No,High School,Yes
121,S00122,5.5,71.9,73.0,No,High School,Yes
